PRECINCT,Date,Race,totvote,DEM_Turnout,REP_Turnout,NPA_Turnout,Other_party_Turnout,White_Turnout,Black_Turnout,Hispanic_Turnout,Other_race_Turnout,Male_Turnout,Female_Turnout,Unkwn_Turnout,pct_white,pct_black,pct_non_bw,DEM_candidate_votes,REP_candidate_votes,OTHER_candidate_votes,Total_contest_votes,pct_dem,pct_rep,D-R_vote_pct,D-R_vote,District
101,11/6/2012,President,2009,998,707,247,57,1156,656,92,105,843,1130,36,0.575410652,0.326530612,0.098058736,1047,935,19,2001,0.523238381,0.467266367,0.055972014,112,1
102,11/6/2012,President,2598,1641,510,379,68,845,1432,135,186,1017,1520,61,0.325250192,0.551193226,0.123556582,1869,680,37,2586,0.722737819,0.26295437,0.459783449,1189,1
103,11/6/2012,President,890,317,458,98,17,679,152,24,35,409,465,16,0.762921348,0.170786517,0.066292135,297,580,8,885,0.33559322,0.655367232,-0.319774011,-283,1
104,11/6/2012,President,1757,771,706,221,59,1080,506,83,88,756,977,24,0.614684121,0.287990894,0.097324986,805,939,25,1769,0.455059356,0.530808366,-0.075749011,-134,1
105,11/6/2012,President,3067,1307,1254,414,92,1964,809,121,173,1321,1708,38,0.640365178,0.263775677,0.095859146,1353,1666,23,3042,0.444773176,0.547666009,-0.102892834,-313,1
106,11/6/2012,President,3321,1610,1230,400,81,1829,1239,71,182,1367,1904,50,0.55073773,0.373080397,0.076181873,1757,1522,26,3305,0.531618759,0.460514372,0.071104387,235,1
107,11/6/2012,President,1010,593,253,134,30,451,471,42,46,438,559,13,0.446534653,0.466336634,0.087128713,650,348,9,1007,0.645481629,0.345580933,0.299900695,302,1
108,11/6/2012,President,1638,663,711,209,55,1169,316,63,90,739,879,20,0.713675214,0.192918193,0.093406593,664,940,23,1627,0.408113092,0.577750461,-0.169637369,-276,1
109,11/6/2012,President,1086,507,424,121,34,690,324,14,58,457,614,15,0.635359116,0.298342541,0.066298343,559,531,9,1099,0.508644222,0.483166515,0.025477707,28,1
110,11/6/2012,President,1686,541,900,194,51,1417,120,46,103,761,904,21,0.840450771,0.071174377,0.088374852,550,1105,31,1686,0.326215896,0.65539739,-0.329181495,-555,1
111,11/6/2012,President,2169,826,1031,245,67,1524,454,75,116,949,1196,24,0.702627939,0.209313047,0.088059013,871,1267,20,2158,0.403614458,0.587117702,-0.183503244,-396,1
112,11/6/2012,President,1220,649,324,200,47,569,492,77,82,490,698,32,0.466393443,0.403278689,0.130327869,768,421,22,1211,0.634186623,0.347646573,0.28654005,347,1
113,11/6/2012,President,4180,1890,1555,605,130,2290,1404,214,272,1741,2370,69,0.54784689,0.335885167,0.116267943,2171,1944,52,4167,0.52099832,0.466522678,0.054475642,227,1
114,11/6/2012,President,1361,840,289,187,45,512,731,41,77,516,809,36,0.376193975,0.53710507,0.086700955,957,383,17,1357,0.70523213,0.282240236,0.422991894,574,1
201,11/6/2012,President,2527,790,1329,332,76,1895,406,81,145,1177,1314,36,0.749901068,0.16066482,0.089434112,798,1699,12,2509,0.318055002,0.677162216,-0.359107214,-901,2
202,11/6/2012,President,3647,1096,1770,647,134,2422,583,175,467,1673,1917,57,0.664107486,0.159857417,0.176035097,1299,2286,39,3624,0.358443709,0.630794702,-0.272350993,-987,2
203,11/6/2012,President,3206,1357,1284,461,104,1900,925,152,229,1374,1764,68,0.592638802,0.288521522,0.118839676,1564,1588,40,3192,0.489974937,0.497493734,-0.007518797,-24,2
204,11/6/2012,President,1582,448,912,180,42,1425,73,38,46,730,834,18,0.900758534,0.046144121,0.053097345,299,1265,15,1579,0.189360355,0.801139962,-0.611779607,-966,2
205,11/6/2012,President,4669,1641,2232,649,147,3330,889,169,281,2143,2464,62,0.713214821,0.190404798,0.096380381,1516,3089,45,4650,0.326021505,0.664301075,-0.33827957,-1573,2
206,11/6/2012,President,3674,817,2357,398,102,3202,216,82,174,1725,1910,39,0.871529668,0.058791508,0.069678824,837,2801,29,3667,0.228251977,0.763839651,-0.535587674,-1964,2
207,11/6/2012,President,3996,1479,1771,623,123,2650,907,161,278,1730,2201,65,0.663163163,0.226976977,0.10985986,1662,2291,55,4008,0.414670659,0.571606786,-0.156936128,-629,2
208,11/6/2012,President,1713,399,1093,166,55,1536,114,16,47,832,862,19,0.896672504,0.066549912,0.036777583,323,1364,11,1698,0.190223793,0.803297998,-0.613074205,-1041,2
209,11/6/2012,President,2034,499,1214,256,65,1741,134,50,109,967,1043,24,0.855948869,0.065880039,0.078171091,505,1491,23,2019,0.250123824,0.738484398,-0.488360575,-986,2
210,11/6/2012,President,247,68,145,21,13,235,1,3,8,122,120,5,0.951417004,0.004048583,0.044534413,60,183,6,249,0.240963855,0.734939759,-0.493975904,-123,2
211,11/6/2012,President,3225,1058,1578,481,108,2157,708,140,220,1480,1686,59,0.668837209,0.219534884,0.111627907,1147,2030,34,3211,0.357209592,0.632201806,-0.274992214,-883,2
212,11/6/2012,President,497,117,299,63,18,483,3,1,10,238,255,4,0.971830986,0.006036217,0.022132797,72,413,5,490,0.146938776,0.842857143,-0.695918367,-341,2
213,11/6/2012,President,1091,252,690,126,23,864,138,14,75,527,555,9,0.791934005,0.126489459,0.081576535,271,835,1,1107,0.244805781,0.754290876,-0.509485095,-564,2
301,11/6/2012,President,1637,249,1143,203,42,1414,97,30,96,809,814,14,0.863775199,0.059254734,0.076970067,333,1293,5,1631,0.204169221,0.792765175,-0.588595953,-960,3
302,11/6/2012,President,1672,502,797,302,71,1199,201,95,177,796,850,26,0.717105263,0.120215311,0.162679426,601,1043,26,1670,0.35988024,0.624550898,-0.264670659,-442,3
303,11/6/2012,President,2612,647,1470,402,93,2193,150,84,185,1181,1397,34,0.839586524,0.057427259,0.102986217,786,1787,32,2605,0.301727447,0.685988484,-0.384261036,-1001,3
304,11/6/2012,President,2971,529,1830,516,96,2537,150,81,203,1390,1550,31,0.853921239,0.050488051,0.09559071,729,2226,19,2974,0.245124412,0.748486886,-0.503362475,-1497,3
305,11/6/2012,President,4054,1037,2088,733,196,3226,323,188,317,1805,2183,66,0.795757277,0.079674396,0.124568328,1398,2591,42,4031,0.346812205,0.642768544,-0.295956338,-1193,3
306,11/6/2012,President,2668,937,1031,596,104,1442,563,208,455,1236,1373,59,0.54047976,0.21101949,0.24850075,1300,1331,21,2652,0.490196078,0.50188537,-0.011689291,-31,3
307,11/6/2012,President,1748,513,749,394,92,1314,201,104,129,765,948,35,0.751716247,0.114988558,0.133295195,676,1031,35,1742,0.388059701,0.59184845,-0.203788749,-355,3
308,11/6/2012,President,1391,290,809,238,54,1178,84,47,82,634,734,23,0.846872753,0.06038821,0.092739037,360,1011,14,1385,0.259927798,0.729963899,-0.470036101,-651,3
309,11/6/2012,President,2283,748,1017,420,98,1544,394,113,232,1001,1248,34,0.67630311,0.172579939,0.151116951,901,1346,29,2276,0.395869947,0.591388401,-0.195518453,-445,3
310,11/6/2012,President,1683,323,1024,274,62,1478,57,30,118,706,944,33,0.878193702,0.033868093,0.087938206,433,1218,15,1666,0.259903962,0.731092437,-0.471188475,-785,3
311,11/6/2012,President,1560,347,941,219,53,1366,67,36,91,728,812,20,0.875641026,0.042948718,0.081410256,412,1122,11,1545,0.266666667,0.726213592,-0.459546926,-710,3
312,11/6/2012,President,3011,829,1401,630,151,2170,316,166,359,1358,1592,61,0.7206908,0.104948522,0.174360678,1104,1851,47,3002,0.36775483,0.616588941,-0.248834111,-747,3
313,11/6/2012,President,4562,1514,2021,869,158,2823,879,301,559,2098,2384,80,0.618807541,0.19267865,0.18851381,1815,2660,63,4538,0.399955928,0.586161305,-0.186205377,-845,3
401,11/6/2012,President,992,370,487,111,24,768,159,20,45,423,556,13,0.774193548,0.160282258,0.065524194,354,636,14,1004,0.352589641,0.633466135,-0.280876494,-282,4
402,11/6/2012,President,2622,1168,921,434,99,1511,650,178,283,1109,1467,46,0.576277651,0.247902365,0.175819985,1311,1267,39,2617,0.500955292,0.484142147,0.016813145,44,4
403,11/6/2012,President,3590,1509,1400,557,124,2273,801,194,322,1516,2002,72,0.633147632,0.223119777,0.143732591,1720,1829,31,3580,0.480446927,0.510893855,-0.030446927,-109,4
404,11/6/2012,President,2293,697,1279,251,66,2049,120,40,84,1055,1212,26,0.893589184,0.052333188,0.054077628,563,1708,29,2300,0.244782609,0.742608696,-0.497826087,-1145,4
405,11/6/2012,President,1428,741,429,202,56,753,541,53,81,589,805,34,0.527310924,0.378851541,0.093837535,828,572,15,1415,0.585159011,0.404240283,0.180918728,256,4
407,11/6/2012,President,4266,1355,2037,735,139,3135,549,152,430,1950,2236,80,0.73488045,0.128691983,0.136427567,1601,2589,68,4258,0.375998121,0.60803194,-0.232033819,-988,4
408,11/6/2012,President,2851,1019,1368,392,72,2233,386,88,144,1216,1595,40,0.783233953,0.135391091,0.081374956,975,1831,36,2842,0.343068262,0.644264602,-0.301196341,-856,4
409,11/6/2012,President,2043,837,830,312,64,1408,423,75,137,873,1134,36,0.689182575,0.207048458,0.103768967,899,1078,26,2003,0.44882676,0.538192711,-0.089365951,-179,4
410,11/6/2012,President,2749,1052,1054,543,100,1634,599,176,340,1254,1443,52,0.594397963,0.217897417,0.18770462,1245,1457,49,2751,0.452562704,0.529625591,-0.077062886,-212,4
411,11/6/2012,President,2962,1061,1183,572,146,2033,453,212,264,1347,1550,65,0.686360567,0.152937205,0.160702228,1322,1614,46,2982,0.443326626,0.541247485,-0.097920858,-292,4
412,11/6/2012,President,1534,503,630,317,84,1054,231,99,150,666,827,41,0.687092568,0.150586701,0.16232073,712,820,19,1551,0.459058672,0.528691167,-0.069632495,-108,4
501,11/6/2012,President,2292,720,1080,389,103,1977,136,47,132,1058,1186,48,0.862565445,0.059336824,0.078097731,951,1304,35,2290,0.415283843,0.569432314,-0.154148472,-353,5
502,11/6/2012,President,778,356,292,92,38,526,196,19,37,335,435,8,0.676092545,0.251928021,0.071979434,388,376,13,777,0.499356499,0.483912484,0.015444015,12,5
503,11/6/2012,President,1035,626,221,165,23,390,510,59,76,419,591,25,0.376811594,0.492753623,0.130434783,747,267,18,1032,0.723837209,0.25872093,0.465116279,480,5
504,11/6/2012,President,1839,686,892,193,68,1442,278,42,77,805,1012,22,0.784121805,0.151169114,0.064709081,795,1014,18,1827,0.435139573,0.55500821,-0.119868637,-219,5
